Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DOrder 4/dense/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,5.638172196700379e-5,5.6268275093283206e-5,5.6617525504132665e-5,5.729455969011213e-7,2.389856878847667e-7,9.140017674972351e-7
DOrder 3 |*| DOrder 4/sparse/identity/liftSmoothSeries,7.376762353027029e-4,7.287166977953226e-4,7.675679096796948e-4,5.4023407832281944e-5,1.0134237736348377e-5,1.1327791036099821e-4
DOrder 3 |*| DOrder 4/sparse/identity/liftSmoothSerisAD,1.3403066766874634e-4,1.333341936281036e-4,1.3614353383317997e-4,3.6487811099182804e-6,1.4880530732570886e-6,7.001802329209964e-6
DOrder 3 |*| DOrder 4/sparse/identity/liftSmoothSuccinctTower,1.0566565363154984e-5,1.0542528152413256e-5,1.0610979297411887e-5,1.054710473126377e-7,6.533687578290467e-8,1.659624655865496e-7
DOrder 3 |*| DOrder 4/sparse/exp x/liftSmoothSeries,1.0100362307951163e-3,1.00076026544643e-3,1.0377891468378103e-3,5.892573256005828e-5,5.705570048291435e-6,1.136106973644957e-4
DOrder 3 |*| DOrder 4/sparse/exp x/liftSmoothSerisAD,1.3418607663580678e-4,1.338264510146232e-4,1.347751266827251e-4,1.5266937031292793e-6,1.002019101832194e-6,2.418614313633431e-6
DOrder 3 |*| DOrder 4/sparse/exp x/liftSmoothSuccinctTower,1.0950636434989631e-5,1.0931429090164607e-5,1.097064133400536e-5,6.53537252702091e-8,4.9263836584746996e-8,8.863740875021295e-8
DOrder 3 |*| DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSeries,2.214144522416965e-3,2.1935993837930608e-3,2.268957196185449e-3,1.0131087462833306e-4,2.4006636955913103e-5,2.1652055967766526e-4
DOrder 3 |*| DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSerisAD,1.370053103668912e-4,1.3642358782631553e-4,1.384984536695554e-4,2.824480871769532e-6,1.2432431286982874e-6,5.145632882774892e-6
DOrder 3 |*| DOrder 4/sparse/sin x * exp (x^2 + x)/liftSmoothSuccinctTower,1.2376910326846949e-5,1.233524270866603e-5,1.2462576012533095e-5,1.8317215672527906e-7,9.09306586550997e-8,3.5349667546742295e-7
DOrder 3 |*| DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSeries,0.1454031985199603,0.1446053523411111,0.14631682677333332,1.4365871764625557e-3,1.1534197228471072e-3,1.8710673264982728e-3
DOrder 3 |*| DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSerisAD,1.529270955161433e-4,1.5254001123589272e-4,1.5431474396819446e-4,2.155216798113379e-6,7.566006605648185e-7,4.723682100718048e-6
DOrder 3 |*| DOrder 4/sparse/sin x * exp (y^2 + z)/liftSmoothSuccinctTower,3.0170276418883037e-5,3.0087652993417993e-5,3.0302855769149058e-5,3.451183677372796e-7,1.9604040661924455e-7,6.155484297003399e-7
DOrder 3 |*| DOrder 4/x + d/identity/liftSmoothSeries,7.853213588491843e-4,7.73349435284369e-4,8.179357049301945e-4,6.293443096706292e-5,2.218367250275562e-5,1.247680740255589e-4
DOrder 3 |*| DOrder 4/x + d/identity/liftSmoothSerisAD,1.565896291194962e-4,1.5623618974267817e-4,1.5691551005204152e-4,1.095235771647086e-6,8.37021263041353e-7,1.5294414112351856e-6
DOrder 3 |*| DOrder 4/x + d/identity/liftSmoothSuccinctTower,2.1679466949864196e-5,2.1283875642292137e-5,2.286105131552059e-5,2.1509895956711015e-6,6.831568551778841e-7,4.689958139482066e-6
DOrder 3 |*| DOrder 4/x + d/exp x/liftSmoothSeries,1.064266040838384e-3,1.0529828235235471e-3,1.1080551592716563e-3,6.831953120952288e-5,1.847325662488591e-5,1.4034277277995416e-4
DOrder 3 |*| DOrder 4/x + d/exp x/liftSmoothSerisAD,1.6953140360878702e-4,1.690777345789363e-4,1.7039664119366835e-4,2.078960420486622e-6,9.748392722146146e-7,3.3534433255649675e-6
DOrder 3 |*| DOrder 4/x + d/exp x/liftSmoothSuccinctTower,3.3752604140508275e-5,3.3632790897559974e-5,3.392419606315859e-5,4.93130515038236e-7,3.8100226553279214e-7,7.61267759086755e-7
DOrder 3 |*| DOrder 4/x + d/sin x * exp (x^2 + x)/liftSmoothSeries,2.2580148762991414e-3,2.2387942282645176e-3,2.3203881738777746e-3,9.887036208091918e-5,4.2571080612076696e-5,2.0544535346323563e-4
